"","uf_sigla","cod_macrorregiao","macrorregiao_pad","quantidade","mes_ano"
"1","GO","5209","MACRORREGIAO CENTRO-NORTE",1170,2021-12-01
"2","GO","5208","MACRORREGIAO CENTRO-OESTE",2357,2021-12-01
"3","GO","5210","MACRORREGIAO CENTRO SUDESTE",1558,2021-12-01
"4","GO","5206","MACRORREGIAO SUDOESTE",750,2021-12-01
"5","GO","5207","MACRORREGIAO NORDESTE",1542,2021-12-01
"6","GO","5207","MACRORREGIAO NORDESTE",1437,2021-11-01
"7","GO","5208","MACRORREGIAO CENTRO-OESTE",2335,2021-11-01
"8","GO","5206","MACRORREGIAO SUDOESTE",757,2021-11-01
"9","GO","5210","MACRORREGIAO CENTRO SUDESTE",1542,2021-11-01
"10","GO","5209","MACRORREGIAO CENTRO-NORTE",1195,2021-11-01
"11","GO","5209","MACRORREGIAO CENTRO-NORTE",1137,2021-10-01
"12","GO","5208","MACRORREGIAO CENTRO-OESTE",2462,2021-10-01
"13","GO","5207","MACRORREGIAO NORDESTE",1491,2021-10-01
"14","GO","5210","MACRORREGIAO CENTRO SUDESTE",1563,2021-10-01
"15","GO","5206","MACRORREGIAO SUDOESTE",762,2021-10-01
"16","GO","5209","MACRORREGIAO CENTRO-NORTE",1200,2021-09-01
"17","GO","5207","MACRORREGIAO NORDESTE",1547,2021-09-01
"18","GO","5206","MACRORREGIAO SUDOESTE",759,2021-09-01
"19","GO","5210","MACRORREGIAO CENTRO SUDESTE",1589,2021-09-01
"20","GO","5208","MACRORREGIAO CENTRO-OESTE",2415,2021-09-01
"21","GO","5207","MACRORREGIAO NORDESTE",1507,2021-08-01
"22","GO","5209","MACRORREGIAO CENTRO-NORTE",1243,2021-08-01
"23","GO","5208","MACRORREGIAO CENTRO-OESTE",2337,2021-08-01
"24","GO","5210","MACRORREGIAO CENTRO SUDESTE",1535,2021-08-01
"25","GO","5206","MACRORREGIAO SUDOESTE",731,2021-08-01
"26","GO","5208","MACRORREGIAO CENTRO-OESTE",2406,2021-07-01
"27","GO","5207","MACRORREGIAO NORDESTE",1564,2021-07-01
"28","GO","5209","MACRORREGIAO CENTRO-NORTE",1165,2021-07-01
"29","GO","5206","MACRORREGIAO SUDOESTE",746,2021-07-01
"30","GO","5210","MACRORREGIAO CENTRO SUDESTE",1573,2021-07-01
"31","GO","5210","MACRORREGIAO CENTRO SUDESTE",1484,2021-06-01
"32","GO","5206","MACRORREGIAO SUDOESTE",695,2021-06-01
"33","GO","5207","MACRORREGIAO NORDESTE",1487,2021-06-01
"34","GO","5209","MACRORREGIAO CENTRO-NORTE",1214,2021-06-01
"35","GO","5208","MACRORREGIAO CENTRO-OESTE",2436,2021-06-01
"36","GO","5208","MACRORREGIAO CENTRO-OESTE",2444,2021-05-01
"37","GO","5207","MACRORREGIAO NORDESTE",1646,2021-05-01
"38","GO","5210","MACRORREGIAO CENTRO SUDESTE",1715,2021-05-01
"39","GO","5206","MACRORREGIAO SUDOESTE",779,2021-05-01
"40","GO","5209","MACRORREGIAO CENTRO-NORTE",1281,2021-05-01
"41","GO","5209","MACRORREGIAO CENTRO-NORTE",1270,2021-04-01
"42","GO","5207","MACRORREGIAO NORDESTE",1615,2021-04-01
"43","GO","5206","MACRORREGIAO SUDOESTE",792,2021-04-01
"44","GO","5208","MACRORREGIAO CENTRO-OESTE",2450,2021-04-01
"45","GO","5210","MACRORREGIAO CENTRO SUDESTE",1674,2021-04-01
"46","GO","5209","MACRORREGIAO CENTRO-NORTE",1386,2021-03-01
"47","GO","5207","MACRORREGIAO NORDESTE",1734,2021-03-01
"48","GO","5206","MACRORREGIAO SUDOESTE",792,2021-03-01
"49","GO","5208","MACRORREGIAO CENTRO-OESTE",2713,2021-03-01
"50","GO","5210","MACRORREGIAO CENTRO SUDESTE",1853,2021-03-01
"51","GO","5210","MACRORREGIAO CENTRO SUDESTE",1544,2021-02-01
"52","GO","5206","MACRORREGIAO SUDOESTE",764,2021-02-01
"53","GO","5209","MACRORREGIAO CENTRO-NORTE",1209,2021-02-01
"54","GO","5208","MACRORREGIAO CENTRO-OESTE",2296,2021-02-01
"55","GO","5207","MACRORREGIAO NORDESTE",1428,2021-02-01
"56","GO","5209","MACRORREGIAO CENTRO-NORTE",1203,2021-01-01
"57","GO","5207","MACRORREGIAO NORDESTE",1550,2021-01-01
"58","GO","5206","MACRORREGIAO SUDOESTE",766,2021-01-01
"59","GO","5210","MACRORREGIAO CENTRO SUDESTE",1633,2021-01-01
"60","GO","5208","MACRORREGIAO CENTRO-OESTE",2390,2021-01-01
"61","GO","5208","MACRORREGIAO CENTRO-OESTE",2468,2020-12-01
"62","GO","5210","MACRORREGIAO CENTRO SUDESTE",1600,2020-12-01
"63","GO","5206","MACRORREGIAO SUDOESTE",756,2020-12-01
"64","GO","5209","MACRORREGIAO CENTRO-NORTE",1122,2020-12-01
"65","GO","5207","MACRORREGIAO NORDESTE",1525,2020-12-01
"66","GO","5210","MACRORREGIAO CENTRO SUDESTE",1472,2020-11-01
"67","GO","5208","MACRORREGIAO CENTRO-OESTE",2298,2020-11-01
"68","GO","5209","MACRORREGIAO CENTRO-NORTE",1144,2020-11-01
"69","GO","5206","MACRORREGIAO SUDOESTE",729,2020-11-01
"70","GO","5207","MACRORREGIAO NORDESTE",1419,2020-11-01
"71","GO","5206","MACRORREGIAO SUDOESTE",752,2020-10-01
"72","GO","5209","MACRORREGIAO CENTRO-NORTE",1205,2020-10-01
"73","GO","5208","MACRORREGIAO CENTRO-OESTE",2350,2020-10-01
"74","GO","5207","MACRORREGIAO NORDESTE",1481,2020-10-01
"75","GO","5210","MACRORREGIAO CENTRO SUDESTE",1586,2020-10-01
"76","GO","5209","MACRORREGIAO CENTRO-NORTE",1263,2020-09-01
"77","GO","5208","MACRORREGIAO CENTRO-OESTE",2484,2020-09-01
"78","GO","5207","MACRORREGIAO NORDESTE",1508,2020-09-01
"79","GO","5206","MACRORREGIAO SUDOESTE",747,2020-09-01
"80","GO","5210","MACRORREGIAO CENTRO SUDESTE",1656,2020-09-01
"81","GO","5206","MACRORREGIAO SUDOESTE",757,2020-08-01
"82","GO","5208","MACRORREGIAO CENTRO-OESTE",2435,2020-08-01
"83","GO","5207","MACRORREGIAO NORDESTE",1453,2020-08-01
"84","GO","5210","MACRORREGIAO CENTRO SUDESTE",1564,2020-08-01
"85","GO","5209","MACRORREGIAO CENTRO-NORTE",1178,2020-08-01
"86","GO","5206","MACRORREGIAO SUDOESTE",835,2020-07-01
"87","GO","5207","MACRORREGIAO NORDESTE",1477,2020-07-01
"88","GO","5210","MACRORREGIAO CENTRO SUDESTE",1664,2020-07-01
"89","GO","5208","MACRORREGIAO CENTRO-OESTE",2583,2020-07-01
"90","GO","5209","MACRORREGIAO CENTRO-NORTE",1274,2020-07-01
"91","GO","5206","MACRORREGIAO SUDOESTE",759,2020-06-01
"92","GO","5207","MACRORREGIAO NORDESTE",1579,2020-06-01
"93","GO","5209","MACRORREGIAO CENTRO-NORTE",1219,2020-06-01
"94","GO","5210","MACRORREGIAO CENTRO SUDESTE",1661,2020-06-01
"95","GO","5208","MACRORREGIAO CENTRO-OESTE",2442,2020-06-01
"96","GO","5209","MACRORREGIAO CENTRO-NORTE",1286,2020-05-01
"97","GO","5207","MACRORREGIAO NORDESTE",1622,2020-05-01
"98","GO","5208","MACRORREGIAO CENTRO-OESTE",2719,2020-05-01
"99","GO","5206","MACRORREGIAO SUDOESTE",786,2020-05-01
"100","GO","5210","MACRORREGIAO CENTRO SUDESTE",1764,2020-05-01
"101","GO","5209","MACRORREGIAO CENTRO-NORTE",1298,2020-04-01
"102","GO","5208","MACRORREGIAO CENTRO-OESTE",2817,2020-04-01
"103","GO","5210","MACRORREGIAO CENTRO SUDESTE",1780,2020-04-01
"104","GO","5206","MACRORREGIAO SUDOESTE",798,2020-04-01
"105","GO","5207","MACRORREGIAO NORDESTE",1673,2020-04-01
"106","GO","5208","MACRORREGIAO CENTRO-OESTE",2822,2020-03-01
"107","GO","5206","MACRORREGIAO SUDOESTE",884,2020-03-01
"108","GO","5207","MACRORREGIAO NORDESTE",1716,2020-03-01
"109","GO","5209","MACRORREGIAO CENTRO-NORTE",1329,2020-03-01
"110","GO","5210","MACRORREGIAO CENTRO SUDESTE",1802,2020-03-01
"111","GO","5209","MACRORREGIAO CENTRO-NORTE",1151,2020-02-01
"112","GO","5208","MACRORREGIAO CENTRO-OESTE",2396,2020-02-01
"113","GO","5207","MACRORREGIAO NORDESTE",1468,2020-02-01
"114","GO","5210","MACRORREGIAO CENTRO SUDESTE",1639,2020-02-01
"115","GO","5206","MACRORREGIAO SUDOESTE",738,2020-02-01
"116","GO","5206","MACRORREGIAO SUDOESTE",800,2020-01-01
"117","GO","5208","MACRORREGIAO CENTRO-OESTE",2557,2020-01-01
"118","GO","5207","MACRORREGIAO NORDESTE",1610,2020-01-01
"119","GO","5210","MACRORREGIAO CENTRO SUDESTE",1639,2020-01-01
"120","GO","5209","MACRORREGIAO CENTRO-NORTE",1228,2020-01-01
"121","GO","5210","MACRORREGIAO CENTRO SUDESTE",1472,2019-12-01
"122","GO","5206","MACRORREGIAO SUDOESTE",795,2019-12-01
"123","GO","5207","MACRORREGIAO NORDESTE",1559,2019-12-01
"124","GO","5209","MACRORREGIAO CENTRO-NORTE",1235,2019-12-01
"125","GO","5208","MACRORREGIAO CENTRO-OESTE",2460,2019-12-01
"126","GO","5206","MACRORREGIAO SUDOESTE",685,2019-11-01
"127","GO","5209","MACRORREGIAO CENTRO-NORTE",1150,2019-11-01
"128","GO","5208","MACRORREGIAO CENTRO-OESTE",2375,2019-11-01
"129","GO","5210","MACRORREGIAO CENTRO SUDESTE",1597,2019-11-01
"130","GO","5207","MACRORREGIAO NORDESTE",1444,2019-11-01
"131","GO","5207","MACRORREGIAO NORDESTE",1506,2019-10-01
"132","GO","5208","MACRORREGIAO CENTRO-OESTE",2587,2019-10-01
"133","GO","5206","MACRORREGIAO SUDOESTE",749,2019-10-01
"134","GO","5210","MACRORREGIAO CENTRO SUDESTE",1644,2019-10-01
"135","GO","5209","MACRORREGIAO CENTRO-NORTE",1192,2019-10-01
"136","GO","5206","MACRORREGIAO SUDOESTE",788,2019-09-01
"137","GO","5207","MACRORREGIAO NORDESTE",1540,2019-09-01
"138","GO","5209","MACRORREGIAO CENTRO-NORTE",1241,2019-09-01
"139","GO","5210","MACRORREGIAO CENTRO SUDESTE",1641,2019-09-01
"140","GO","5208","MACRORREGIAO CENTRO-OESTE",2504,2019-09-01
"141","GO","5210","MACRORREGIAO CENTRO SUDESTE",1669,2019-08-01
"142","GO","5209","MACRORREGIAO CENTRO-NORTE",1269,2019-08-01
"143","GO","5208","MACRORREGIAO CENTRO-OESTE",2568,2019-08-01
"144","GO","5207","MACRORREGIAO NORDESTE",1556,2019-08-01
"145","GO","5206","MACRORREGIAO SUDOESTE",734,2019-08-01
"146","GO","5210","MACRORREGIAO CENTRO SUDESTE",1659,2019-07-01
"147","GO","5206","MACRORREGIAO SUDOESTE",843,2019-07-01
"148","GO","5208","MACRORREGIAO CENTRO-OESTE",2710,2019-07-01
"149","GO","5209","MACRORREGIAO CENTRO-NORTE",1298,2019-07-01
"150","GO","5207","MACRORREGIAO NORDESTE",1553,2019-07-01
"151","GO","5208","MACRORREGIAO CENTRO-OESTE",2564,2019-06-01
"152","GO","5207","MACRORREGIAO NORDESTE",1476,2019-06-01
"153","GO","5209","MACRORREGIAO CENTRO-NORTE",1275,2019-06-01
"154","GO","5210","MACRORREGIAO CENTRO SUDESTE",1708,2019-06-01
"155","GO","5206","MACRORREGIAO SUDOESTE",792,2019-06-01
"156","GO","5208","MACRORREGIAO CENTRO-OESTE",2864,2019-05-01
"157","GO","5210","MACRORREGIAO CENTRO SUDESTE",1840,2019-05-01
"158","GO","5206","MACRORREGIAO SUDOESTE",910,2019-05-01
"159","GO","5209","MACRORREGIAO CENTRO-NORTE",1413,2019-05-01
"160","GO","5207","MACRORREGIAO NORDESTE",1597,2019-05-01
"161","GO","5207","MACRORREGIAO NORDESTE",1631,2019-04-01
"162","GO","5208","MACRORREGIAO CENTRO-OESTE",2688,2019-04-01
"163","GO","5209","MACRORREGIAO CENTRO-NORTE",1360,2019-04-01
"164","GO","5210","MACRORREGIAO CENTRO SUDESTE",1757,2019-04-01
"165","GO","5206","MACRORREGIAO SUDOESTE",921,2019-04-01
"166","GO","5208","MACRORREGIAO CENTRO-OESTE",2877,2019-03-01
"167","GO","5206","MACRORREGIAO SUDOESTE",877,2019-03-01
"168","GO","5207","MACRORREGIAO NORDESTE",1674,2019-03-01
"169","GO","5210","MACRORREGIAO CENTRO SUDESTE",1846,2019-03-01
"170","GO","5209","MACRORREGIAO CENTRO-NORTE",1454,2019-03-01
"171","GO","5209","MACRORREGIAO CENTRO-NORTE",1325,2019-02-01
"172","GO","5210","MACRORREGIAO CENTRO SUDESTE",1716,2019-02-01
"173","GO","5207","MACRORREGIAO NORDESTE",1495,2019-02-01
"174","GO","5206","MACRORREGIAO SUDOESTE",795,2019-02-01
"175","GO","5208","MACRORREGIAO CENTRO-OESTE",2706,2019-02-01
"176","GO","5208","MACRORREGIAO CENTRO-OESTE",2971,2019-01-01
"177","GO","5209","MACRORREGIAO CENTRO-NORTE",1307,2019-01-01
"178","GO","5206","MACRORREGIAO SUDOESTE",853,2019-01-01
"179","GO","5210","MACRORREGIAO CENTRO SUDESTE",1794,2019-01-01
"180","GO","5207","MACRORREGIAO NORDESTE",1599,2019-01-01
"181","GO","5207","MACRORREGIAO NORDESTE",1444,2018-12-01
"182","GO","5206","MACRORREGIAO SUDOESTE",764,2018-12-01
"183","GO","5208","MACRORREGIAO CENTRO-OESTE",2703,2018-12-01
"184","GO","5209","MACRORREGIAO CENTRO-NORTE",1252,2018-12-01
"185","GO","5210","MACRORREGIAO CENTRO SUDESTE",1571,2018-12-01
"186","GO","5209","MACRORREGIAO CENTRO-NORTE",1145,2018-11-01
"187","GO","5206","MACRORREGIAO SUDOESTE",785,2018-11-01
"188","GO","5210","MACRORREGIAO CENTRO SUDESTE",1622,2018-11-01
"189","GO","5208","MACRORREGIAO CENTRO-OESTE",2632,2018-11-01
"190","GO","5207","MACRORREGIAO NORDESTE",1482,2018-11-01
"191","GO","5206","MACRORREGIAO SUDOESTE",787,2018-10-01
"192","GO","5208","MACRORREGIAO CENTRO-OESTE",2679,2018-10-01
"193","GO","5210","MACRORREGIAO CENTRO SUDESTE",1714,2018-10-01
"194","GO","5209","MACRORREGIAO CENTRO-NORTE",1309,2018-10-01
"195","GO","5207","MACRORREGIAO NORDESTE",1525,2018-10-01
"196","GO","5207","MACRORREGIAO NORDESTE",1561,2018-09-01
"197","GO","5209","MACRORREGIAO CENTRO-NORTE",1249,2018-09-01
"198","GO","5210","MACRORREGIAO CENTRO SUDESTE",1805,2018-09-01
"199","GO","5206","MACRORREGIAO SUDOESTE",780,2018-09-01
"200","GO","5208","MACRORREGIAO CENTRO-OESTE",2719,2018-09-01
"201","GO","5206","MACRORREGIAO SUDOESTE",859,2018-08-01
"202","GO","5209","MACRORREGIAO CENTRO-NORTE",1372,2018-08-01
"203","GO","5207","MACRORREGIAO NORDESTE",1617,2018-08-01
"204","GO","5208","MACRORREGIAO CENTRO-OESTE",2775,2018-08-01
"205","GO","5210","MACRORREGIAO CENTRO SUDESTE",1718,2018-08-01
"206","GO","5210","MACRORREGIAO CENTRO SUDESTE",1733,2018-07-01
"207","GO","5207","MACRORREGIAO NORDESTE",1617,2018-07-01
"208","GO","5209","MACRORREGIAO CENTRO-NORTE",1283,2018-07-01
"209","GO","5208","MACRORREGIAO CENTRO-OESTE",2691,2018-07-01
"210","GO","5206","MACRORREGIAO SUDOESTE",816,2018-07-01
"211","GO","5208","MACRORREGIAO CENTRO-OESTE",2732,2018-06-01
"212","GO","5210","MACRORREGIAO CENTRO SUDESTE",1785,2018-06-01
"213","GO","5209","MACRORREGIAO CENTRO-NORTE",1272,2018-06-01
"214","GO","5207","MACRORREGIAO NORDESTE",1572,2018-06-01
"215","GO","5206","MACRORREGIAO SUDOESTE",799,2018-06-01
"216","GO","5206","MACRORREGIAO SUDOESTE",945,2018-05-01
"217","GO","5208","MACRORREGIAO CENTRO-OESTE",2966,2018-05-01
"218","GO","5210","MACRORREGIAO CENTRO SUDESTE",1897,2018-05-01
"219","GO","5207","MACRORREGIAO NORDESTE",1698,2018-05-01
"220","GO","5209","MACRORREGIAO CENTRO-NORTE",1474,2018-05-01
"221","GO","5207","MACRORREGIAO NORDESTE",1669,2018-04-01
"222","GO","5206","MACRORREGIAO SUDOESTE",941,2018-04-01
"223","GO","5210","MACRORREGIAO CENTRO SUDESTE",1878,2018-04-01
"224","GO","5208","MACRORREGIAO CENTRO-OESTE",3083,2018-04-01
"225","GO","5209","MACRORREGIAO CENTRO-NORTE",1462,2018-04-01
"226","GO","5210","MACRORREGIAO CENTRO SUDESTE",1964,2018-03-01
"227","GO","5206","MACRORREGIAO SUDOESTE",901,2018-03-01
"228","GO","5207","MACRORREGIAO NORDESTE",1769,2018-03-01
"229","GO","5208","MACRORREGIAO CENTRO-OESTE",3023,2018-03-01
"230","GO","5209","MACRORREGIAO CENTRO-NORTE",1353,2018-03-01
"231","GO","5209","MACRORREGIAO CENTRO-NORTE",1172,2018-02-01
"232","GO","5207","MACRORREGIAO NORDESTE",1451,2018-02-01
"233","GO","5208","MACRORREGIAO CENTRO-OESTE",2539,2018-02-01
"234","GO","5210","MACRORREGIAO CENTRO SUDESTE",1617,2018-02-01
"235","GO","5206","MACRORREGIAO SUDOESTE",772,2018-02-01
"236","GO","5209","MACRORREGIAO CENTRO-NORTE",1274,2018-01-01
"237","GO","5208","MACRORREGIAO CENTRO-OESTE",2704,2018-01-01
"238","GO","5206","MACRORREGIAO SUDOESTE",839,2018-01-01
"239","GO","5210","MACRORREGIAO CENTRO SUDESTE",1787,2018-01-01
"240","GO","5207","MACRORREGIAO NORDESTE",1519,2018-01-01
"241","GO","5206","MACRORREGIAO SUDOESTE",731,2017-12-01
"242","GO","5208","MACRORREGIAO CENTRO-OESTE",2647,2017-12-01
"243","GO","5207","MACRORREGIAO NORDESTE",1529,2017-12-01
"244","GO","5209","MACRORREGIAO CENTRO-NORTE",1246,2017-12-01
"245","GO","5210","MACRORREGIAO CENTRO SUDESTE",1654,2017-12-01
"246","GO","5210","MACRORREGIAO CENTRO SUDESTE",1686,2017-11-01
"247","GO","5209","MACRORREGIAO CENTRO-NORTE",1290,2017-11-01
"248","GO","5208","MACRORREGIAO CENTRO-OESTE",2550,2017-11-01
"249","GO","5206","MACRORREGIAO SUDOESTE",748,2017-11-01
"250","GO","5207","MACRORREGIAO NORDESTE",1486,2017-11-01
"251","GO","5210","MACRORREGIAO CENTRO SUDESTE",1691,2017-10-01
"252","GO","5206","MACRORREGIAO SUDOESTE",792,2017-10-01
"253","GO","5209","MACRORREGIAO CENTRO-NORTE",1346,2017-10-01
"254","GO","5208","MACRORREGIAO CENTRO-OESTE",2706,2017-10-01
"255","GO","5207","MACRORREGIAO NORDESTE",1566,2017-10-01
"256","GO","5209","MACRORREGIAO CENTRO-NORTE",1245,2017-09-01
"257","GO","5206","MACRORREGIAO SUDOESTE",793,2017-09-01
"258","GO","5210","MACRORREGIAO CENTRO SUDESTE",1716,2017-09-01
"259","GO","5207","MACRORREGIAO NORDESTE",1506,2017-09-01
"260","GO","5208","MACRORREGIAO CENTRO-OESTE",2697,2017-09-01
"261","GO","5207","MACRORREGIAO NORDESTE",1515,2017-08-01
"262","GO","5209","MACRORREGIAO CENTRO-NORTE",1324,2017-08-01
"263","GO","5206","MACRORREGIAO SUDOESTE",783,2017-08-01
"264","GO","5210","MACRORREGIAO CENTRO SUDESTE",1751,2017-08-01
"265","GO","5208","MACRORREGIAO CENTRO-OESTE",2830,2017-08-01
"266","GO","5210","MACRORREGIAO CENTRO SUDESTE",1717,2017-07-01
"267","GO","5208","MACRORREGIAO CENTRO-OESTE",2782,2017-07-01
"268","GO","5209","MACRORREGIAO CENTRO-NORTE",1272,2017-07-01
"269","GO","5207","MACRORREGIAO NORDESTE",1582,2017-07-01
"270","GO","5206","MACRORREGIAO SUDOESTE",834,2017-07-01
"271","GO","5210","MACRORREGIAO CENTRO SUDESTE",1739,2017-06-01
"272","GO","5208","MACRORREGIAO CENTRO-OESTE",2861,2017-06-01
"273","GO","5206","MACRORREGIAO SUDOESTE",802,2017-06-01
"274","GO","5209","MACRORREGIAO CENTRO-NORTE",1362,2017-06-01
"275","GO","5207","MACRORREGIAO NORDESTE",1584,2017-06-01
"276","GO","5210","MACRORREGIAO CENTRO SUDESTE",1831,2017-05-01
"277","GO","5209","MACRORREGIAO CENTRO-NORTE",1416,2017-05-01
"278","GO","5206","MACRORREGIAO SUDOESTE",893,2017-05-01
"279","GO","5208","MACRORREGIAO CENTRO-OESTE",2929,2017-05-01
"280","GO","5207","MACRORREGIAO NORDESTE",1631,2017-05-01
"281","GO","5209","MACRORREGIAO CENTRO-NORTE",1376,2017-04-01
"282","GO","5210","MACRORREGIAO CENTRO SUDESTE",1804,2017-04-01
"283","GO","5207","MACRORREGIAO NORDESTE",1615,2017-04-01
"284","GO","5206","MACRORREGIAO SUDOESTE",814,2017-04-01
"285","GO","5208","MACRORREGIAO CENTRO-OESTE",2760,2017-04-01
"286","GO","5206","MACRORREGIAO SUDOESTE",936,2017-03-01
"287","GO","5209","MACRORREGIAO CENTRO-NORTE",1497,2017-03-01
"288","GO","5207","MACRORREGIAO NORDESTE",1723,2017-03-01
"289","GO","5208","MACRORREGIAO CENTRO-OESTE",3025,2017-03-01
"290","GO","5210","MACRORREGIAO CENTRO SUDESTE",1823,2017-03-01
"291","GO","5209","MACRORREGIAO CENTRO-NORTE",1231,2017-02-01
"292","GO","5207","MACRORREGIAO NORDESTE",1480,2017-02-01
"293","GO","5210","MACRORREGIAO CENTRO SUDESTE",1624,2017-02-01
"294","GO","5208","MACRORREGIAO CENTRO-OESTE",2384,2017-02-01
"295","GO","5206","MACRORREGIAO SUDOESTE",790,2017-02-01
"296","GO","5208","MACRORREGIAO CENTRO-OESTE",2504,2017-01-01
"297","GO","5209","MACRORREGIAO CENTRO-NORTE",1151,2017-01-01
"298","GO","5206","MACRORREGIAO SUDOESTE",788,2017-01-01
"299","GO","5210","MACRORREGIAO CENTRO SUDESTE",1663,2017-01-01
"300","GO","5207","MACRORREGIAO NORDESTE",1464,2017-01-01
"301","GO","5208","MACRORREGIAO CENTRO-OESTE",2401,2016-12-01
"302","GO","5206","MACRORREGIAO SUDOESTE",718,2016-12-01
"303","GO","5210","MACRORREGIAO CENTRO SUDESTE",1484,2016-12-01
"304","GO","5207","MACRORREGIAO NORDESTE",1400,2016-12-01
"305","GO","5209","MACRORREGIAO CENTRO-NORTE",1195,2016-12-01
"306","GO","5206","MACRORREGIAO SUDOESTE",710,2016-11-01
"307","GO","5210","MACRORREGIAO CENTRO SUDESTE",1487,2016-11-01
"308","GO","5209","MACRORREGIAO CENTRO-NORTE",1125,2016-11-01
"309","GO","5207","MACRORREGIAO NORDESTE",1303,2016-11-01
"310","GO","5208","MACRORREGIAO CENTRO-OESTE",2294,2016-11-01
"311","GO","5210","MACRORREGIAO CENTRO SUDESTE",1584,2016-10-01
"312","GO","5208","MACRORREGIAO CENTRO-OESTE",2547,2016-10-01
"313","GO","5207","MACRORREGIAO NORDESTE",1533,2016-10-01
"314","GO","5206","MACRORREGIAO SUDOESTE",751,2016-10-01
"315","GO","5209","MACRORREGIAO CENTRO-NORTE",1210,2016-10-01
"316","GO","5208","MACRORREGIAO CENTRO-OESTE",2597,2016-09-01
"317","GO","5207","MACRORREGIAO NORDESTE",1425,2016-09-01
"318","GO","5210","MACRORREGIAO CENTRO SUDESTE",1621,2016-09-01
"319","GO","5206","MACRORREGIAO SUDOESTE",776,2016-09-01
"320","GO","5209","MACRORREGIAO CENTRO-NORTE",1240,2016-09-01
"321","GO","5206","MACRORREGIAO SUDOESTE",751,2016-08-01
"322","GO","5207","MACRORREGIAO NORDESTE",1426,2016-08-01
"323","GO","5209","MACRORREGIAO CENTRO-NORTE",1245,2016-08-01
"324","GO","5208","MACRORREGIAO CENTRO-OESTE",2578,2016-08-01
"325","GO","5210","MACRORREGIAO CENTRO SUDESTE",1587,2016-08-01
"326","GO","5206","MACRORREGIAO SUDOESTE",782,2016-07-01
"327","GO","5207","MACRORREGIAO NORDESTE",1546,2016-07-01
"328","GO","5208","MACRORREGIAO CENTRO-OESTE",2630,2016-07-01
"329","GO","5210","MACRORREGIAO CENTRO SUDESTE",1673,2016-07-01
"330","GO","5209","MACRORREGIAO CENTRO-NORTE",1294,2016-07-01
"331","GO","5206","MACRORREGIAO SUDOESTE",869,2016-06-01
