"","codibge","mes_ano","total_nasc","model"
"1",5206,"jan-2021",762.1706,"mlp"
"2",5207,"jan-2021",1538.4013671875,"mlp"
"3",5208,"jan-2021",2417.46997070312,"mlp"
"4",5209,"jan-2021",1200.61096191406,"mlp"
"5",5210,"jan-2021",1609.33581542969,"mlp"
"6",5206,"feb-2021",757.7335,"mlp"
"7",5207,"feb-2021",1424.28820800781,"mlp"
"8",5208,"feb-2021",2336.95654296875,"mlp"
"9",5209,"feb-2021",1185.5966796875,"mlp"
"10",5210,"feb-2021",1594.39526367188,"mlp"
"11",5206,"mar-2021",802.75574,"mlp"
"12",5207,"mar-2021",1719.64807128906,"mlp"
"13",5208,"mar-2021",2634.09204101562,"mlp"
"14",5209,"mar-2021",1342.35656738281,"mlp"
"15",5210,"mar-2021",1763.79162597656,"mlp"
"16",5206,"apr-2021",765.94366,"mlp"
"17",5207,"apr-2021",1634.04406738281,"mlp"
"18",5208,"apr-2021",2509.2431640625,"mlp"
"19",5209,"apr-2021",1265.25500488281,"mlp"
"20",5210,"apr-2021",1701.38647460938,"mlp"
"21",5206,"may-2021",768.31793,"mlp"
"22",5207,"may-2021",1609.82727050781,"mlp"
"23",5208,"may-2021",2513.03076171875,"mlp"
"24",5209,"may-2021",1313.20434570312,"mlp"
"25",5210,"may-2021",1710.55676269531,"mlp"
"26",5206,"jun-2021",743.3313,"mlp"
"27",5207,"jun-2021",1506.70764160156,"mlp"
"28",5208,"jun-2021",2425.861328125,"mlp"
"29",5209,"jun-2021",1195.87353515625,"mlp"
"30",5210,"jun-2021",1575.75903320312,"mlp"
"31",5206,"jul-2021",750.1459,"mlp"
"32",5207,"jul-2021",1560.12976074219,"mlp"
"33",5208,"jul-2021",2379.49340820312,"mlp"
"34",5209,"jul-2021",1227.26892089844,"mlp"
"35",5210,"jul-2021",1571.84790039062,"mlp"
"36",5206,"aug-2021",734.2763,"mlp"
"37",5207,"aug-2021",1540.78161621094,"mlp"
"38",5208,"aug-2021",2356.38549804688,"mlp"
"39",5209,"aug-2021",1181.12097167969,"mlp"
"40",5210,"aug-2021",1562.19348144531,"mlp"
"41",5206,"sep-2021",729.0848,"mlp"
"42",5207,"sep-2021",1485.32739257812,"mlp"
"43",5208,"sep-2021",2405.24829101562,"mlp"
"44",5209,"sep-2021",1198.57141113281,"mlp"
"45",5210,"sep-2021",1573.77111816406,"mlp"
"46",5206,"oct-2021",722.0098,"mlp"
"47",5207,"oct-2021",1482.40466308594,"mlp"
"48",5208,"oct-2021",2393.0390625,"mlp"
"49",5209,"oct-2021",1163.14782714844,"mlp"
"50",5210,"oct-2021",1539.54028320312,"mlp"
"51",5206,"nov-2021",718.3785,"mlp"
"52",5207,"nov-2021",1416.73779296875,"mlp"
"53",5208,"nov-2021",2280.32470703125,"mlp"
"54",5209,"nov-2021",1147.79345703125,"mlp"
"55",5210,"nov-2021",1518.09301757812,"mlp"
"56",5206,"dec-2021",731.99164,"mlp"
"57",5207,"dec-2021",1458.50073242188,"mlp"
"58",5208,"dec-2021",2392.779296875,"mlp"
"59",5209,"dec-2021",1173.41186523438,"mlp"
"60",5210,"dec-2021",1523.43774414062,"mlp"
"61",5206,"jan-2022",743.9589,"mlp"
"62",5207,"jan-2022",1584.64184570312,"mlp"
"63",5208,"jan-2022",2377.81103515625,"mlp"
"64",5209,"jan-2022",1216.46350097656,"mlp"
"65",5210,"jan-2022",1572.89611816406,"mlp"
"66",5206,"feb-2022",753.8459,"mlp"
"67",5207,"feb-2022",1460.77746582031,"mlp"
"68",5208,"feb-2022",2296.96215820312,"mlp"
"69",5209,"feb-2022",1223.22302246094,"mlp"
"70",5210,"feb-2022",1564.97265625,"mlp"
"71",5206,"mar-2022",771.8812,"mlp"
"72",5207,"mar-2022",1716.42919921875,"mlp"
"73",5208,"mar-2022",2489.015625,"mlp"
"74",5209,"mar-2022",1345.58764648438,"mlp"
"75",5210,"mar-2022",1705.21166992188,"mlp"
"76",5206,"apr-2022",744.61945,"mlp"
"77",5207,"apr-2022",1648.52709960938,"mlp"
"78",5208,"apr-2022",2388.078125,"mlp"
"79",5209,"apr-2022",1268.046875,"mlp"
"80",5210,"apr-2022",1659.54504394531,"mlp"
"81",5206,"may-2022",737.91064,"mlp"
"82",5207,"may-2022",1620.96728515625,"mlp"
"83",5208,"may-2022",2402.11328125,"mlp"
"84",5209,"may-2022",1307.14099121094,"mlp"
"85",5210,"may-2022",1631.14111328125,"mlp"
"86",5206,"jun-2022",721.5215,"mlp"
"87",5207,"jun-2022",1469.71228027344,"mlp"
"88",5208,"jun-2022",2354.23071289062,"mlp"
"89",5209,"jun-2022",1189.15161132812,"mlp"
"90",5210,"jun-2022",1530.47436523438,"mlp"
"91",5206,"jul-2022",723.5388,"mlp"
"92",5207,"jul-2022",1586.84155273438,"mlp"
"93",5208,"jul-2022",2321.39770507812,"mlp"
"94",5209,"jul-2022",1217.12951660156,"mlp"
"95",5210,"jul-2022",1540.73620605469,"mlp"
"96",5206,"aug-2022",719.7072,"mlp"
"97",5207,"aug-2022",1527.51220703125,"mlp"
"98",5208,"aug-2022",2323.31860351562,"mlp"
"99",5209,"aug-2022",1173.8525390625,"mlp"
"100",5210,"aug-2022",1519.82641601562,"mlp"
"101",5206,"sep-2022",706.68384,"mlp"
"102",5207,"sep-2022",1519.05395507812,"mlp"
"103",5208,"sep-2022",2343.755859375,"mlp"
"104",5209,"sep-2022",1193.64392089844,"mlp"
"105",5210,"sep-2022",1522.31530761719,"mlp"
"106",5206,"oct-2022",698.8178,"mlp"
"107",5207,"oct-2022",1536.5576171875,"mlp"
"108",5208,"oct-2022",2344.70336914062,"mlp"
"109",5209,"oct-2022",1157.2548828125,"mlp"
"110",5210,"oct-2022",1524.77258300781,"mlp"
"111",5206,"nov-2022",705.1968,"mlp"
"112",5207,"nov-2022",1486.048828125,"mlp"
"113",5208,"nov-2022",2296.60327148438,"mlp"
"114",5209,"nov-2022",1145.22119140625,"mlp"
"115",5210,"nov-2022",1497.92138671875,"mlp"
"116",5206,"dec-2022",722.73956,"mlp"
"117",5207,"dec-2022",1548.07421875,"mlp"
"118",5208,"dec-2022",2383.54711914062,"mlp"
"119",5209,"dec-2022",1170.57470703125,"mlp"
"120",5210,"dec-2022",1503.08093261719,"mlp"
"121",5206,"jan-2023",730.8329,"mlp"
"122",5207,"jan-2023",1626.046875,"mlp"
"123",5208,"jan-2023",2392.009765625,"mlp"
"124",5209,"jan-2023",1231.95056152344,"mlp"
"125",5210,"jan-2023",1548.01232910156,"mlp"
"126",5206,"feb-2023",750.7672,"mlp"
"127",5207,"feb-2023",1415.2783203125,"mlp"
"128",5208,"feb-2023",2317.14770507812,"mlp"
"129",5209,"feb-2023",1262.03039550781,"mlp"
"130",5210,"feb-2023",1550.12927246094,"mlp"
"131",5206,"mar-2023",753.3837,"mlp"
"132",5207,"mar-2023",1761.76904296875,"mlp"
"133",5208,"mar-2023",2392.99047851562,"mlp"
"134",5209,"mar-2023",1347.46618652344,"mlp"
"135",5210,"mar-2023",1658.42199707031,"mlp"
"136",5206,"apr-2023",729.1878,"mlp"
"137",5207,"apr-2023",1669.87524414062,"mlp"
"138",5208,"apr-2023",2326.25122070312,"mlp"
"139",5209,"apr-2023",1268.42016601562,"mlp"
"140",5210,"apr-2023",1611.90087890625,"mlp"
"141",5206,"may-2023",713.51984,"mlp"
"142",5207,"may-2023",1637.82080078125,"mlp"
"143",5208,"may-2023",2324.80932617188,"mlp"
"144",5209,"may-2023",1289.81970214844,"mlp"
"145",5210,"may-2023",1581.1376953125,"mlp"
"146",5206,"jun-2023",704.9541,"mlp"
"147",5207,"jun-2023",1486.90185546875,"mlp"
"148",5208,"jun-2023",2318.30786132812,"mlp"
"149",5209,"jun-2023",1187.2529296875,"mlp"
"150",5210,"jun-2023",1501.21850585938,"mlp"
"151",5206,"jul-2023",707.40094,"mlp"
"152",5207,"jul-2023",1526.63903808594,"mlp"
"153",5208,"jul-2023",2293.81689453125,"mlp"
"154",5209,"jul-2023",1212.18603515625,"mlp"
"155",5210,"jul-2023",1511.32202148438,"mlp"
"156",5206,"aug-2023",706.891,"mlp"
"157",5207,"aug-2023",1476.54431152344,"mlp"
"158",5208,"aug-2023",2297.11962890625,"mlp"
"159",5209,"aug-2023",1163.66174316406,"mlp"
"160",5210,"aug-2023",1496.07580566406,"mlp"
"161",5206,"sep-2023",692.22675,"mlp"
"162",5207,"sep-2023",1455.23620605469,"mlp"
"163",5208,"sep-2023",2309.11010742188,"mlp"
"164",5209,"sep-2023",1189.13977050781,"mlp"
"165",5210,"sep-2023",1493.31750488281,"mlp"
"166",5206,"oct-2023",680.23083,"mlp"
"167",5207,"oct-2023",1483.01843261719,"mlp"
"168",5208,"oct-2023",2316.67358398438,"mlp"
"169",5209,"oct-2023",1139.93017578125,"mlp"
"170",5210,"oct-2023",1502.93371582031,"mlp"
"171",5206,"nov-2023",695.01294,"mlp"
"172",5207,"nov-2023",1432.8388671875,"mlp"
"173",5208,"nov-2023",2328.91918945312,"mlp"
"174",5209,"nov-2023",1139.94921875,"mlp"
"175",5210,"nov-2023",1478.61950683594,"mlp"
"176",5206,"dec-2023",716.3265,"mlp"
"177",5207,"dec-2023",1498.33972167969,"mlp"
"178",5208,"dec-2023",2397.00708007812,"mlp"
"179",5209,"dec-2023",1172.47375488281,"mlp"
"180",5210,"dec-2023",1490.39172363281,"mlp"
"181",5206,"jan-2021",701.179998081451,"prophet"
"182",5207,"jan-2021",1445.71557410076,"prophet"
"183",5208,"jan-2021",2513.83900158177,"prophet"
"184",5209,"jan-2021",1198.57178575977,"prophet"
"185",5210,"jan-2021",1595.79255964355,"prophet"
"186",5206,"feb-2021",821.131355396867,"prophet"
"187",5207,"feb-2021",1512.03636925472,"prophet"
"188",5208,"feb-2021",2593.99827107116,"prophet"
"189",5209,"feb-2021",1171.35368591622,"prophet"
"190",5210,"feb-2021",1714.40236297812,"prophet"
"191",5206,"mar-2021",797.029941860371,"prophet"
"192",5207,"mar-2021",1577.07506956075,"prophet"
"193",5208,"mar-2021",2502.40103125488,"prophet"
"194",5209,"mar-2021",1205.66836627097,"prophet"
"195",5210,"mar-2021",1645.90747723031,"prophet"
"196",5206,"apr-2021",894.503466776767,"prophet"
"197",5207,"apr-2021",1617.01282494403,"prophet"
"198",5208,"apr-2021",2858.38185815219,"prophet"
"199",5209,"apr-2021",1335.60029444607,"prophet"
"200",5210,"apr-2021",1795.23017753281,"prophet"
"201",5206,"may-2021",800.064360300907,"prophet"
"202",5207,"may-2021",1572.55598262107,"prophet"
"203",5208,"may-2021",2708.76351014355,"prophet"
"204",5209,"may-2021",1355.99653158932,"prophet"
"205",5210,"may-2021",1781.92473734124,"prophet"
"206",5206,"jun-2021",870.187345977347,"prophet"
"207",5207,"jun-2021",1650.33480239794,"prophet"
"208",5208,"jun-2021",2735.09896837113,"prophet"
"209",5209,"jun-2021",1386.62386996476,"prophet"
"210",5210,"jun-2021",1813.11941389467,"prophet"
"211",5206,"jul-2021",823.845574217085,"prophet"
"212",5207,"jul-2021",1529.69923497442,"prophet"
"213",5208,"jul-2021",2534.57522877311,"prophet"
"214",5209,"jul-2021",1216.06946523461,"prophet"
"215",5210,"jul-2021",1653.11498378381,"prophet"
"216",5206,"aug-2021",799.287260927898,"prophet"
"217",5207,"aug-2021",1592.18401210122,"prophet"
"218",5208,"aug-2021",2537.64443416297,"prophet"
"219",5209,"aug-2021",1222.47411827066,"prophet"
"220",5210,"aug-2021",1647.12586631486,"prophet"
"221",5206,"sep-2021",761.015188649512,"prophet"
"222",5207,"sep-2021",1447.25001161837,"prophet"
"223",5208,"sep-2021",2478.25040173218,"prophet"
"224",5209,"sep-2021",1194.63969334024,"prophet"
"225",5210,"sep-2021",1615.54133488761,"prophet"
"226",5206,"oct-2021",753.12305402142,"prophet"
"227",5207,"oct-2021",1518.06193090748,"prophet"
"228",5208,"oct-2021",2570.78008758701,"prophet"
"229",5209,"oct-2021",1244.55590834734,"prophet"
"230",5210,"oct-2021",1657.59235538129,"prophet"
"231",5206,"nov-2021",793.554190890276,"prophet"
"232",5207,"nov-2021",1587.96470332261,"prophet"
"233",5208,"nov-2021",2513.70589325475,"prophet"
"234",5209,"nov-2021",1290.08229219995,"prophet"
"235",5210,"nov-2021",1631.23077256751,"prophet"
"236",5206,"dec-2021",760.85463429625,"prophet"
"237",5207,"dec-2021",1382.64800310094,"prophet"
"238",5208,"dec-2021",2296.81956502363,"prophet"
"239",5209,"dec-2021",1163.10003150643,"prophet"
"240",5210,"dec-2021",1554.64031578954,"prophet"
"241",5206,"jan-2022",708.363429601696,"prophet"
"242",5207,"jan-2022",1439.69862977864,"prophet"
"243",5208,"jan-2022",2473.52979683559,"prophet"
"244",5209,"jan-2022",1186.71518321466,"prophet"
"245",5210,"jan-2022",1585.33279608454,"prophet"
"246",5206,"feb-2022",813.761446838811,"prophet"
"247",5207,"feb-2022",1510.30446136451,"prophet"
"248",5208,"feb-2022",2552.57704474577,"prophet"
"249",5209,"feb-2022",1169.01248938274,"prophet"
"250",5210,"feb-2022",1696.95423078311,"prophet"
"251",5206,"mar-2022",790.886984754607,"prophet"
"252",5207,"mar-2022",1543.94626453207,"prophet"
"253",5208,"mar-2022",2463.23934012281,"prophet"
"254",5209,"mar-2022",1188.96348220006,"prophet"
"255",5210,"mar-2022",1632.67383199215,"prophet"
"256",5206,"apr-2022",887.602190180236,"prophet"
"257",5207,"apr-2022",1619.5906994601,"prophet"
"258",5208,"apr-2022",2817.09281550846,"prophet"
"259",5209,"apr-2022",1330.23913661556,"prophet"
"260",5210,"apr-2022",1794.8025290313,"prophet"
"261",5206,"may-2022",808.927958771181,"prophet"
"262",5207,"may-2022",1570.84006765802,"prophet"
"263",5208,"may-2022",2682.25453901012,"prophet"
"264",5209,"may-2022",1334.43419299503,"prophet"
"265",5210,"may-2022",1769.9047654199,"prophet"
"266",5206,"jun-2022",865.142733163357,"prophet"
"267",5207,"jun-2022",1635.55904388086,"prophet"
"268",5208,"jun-2022",2698.15002685498,"prophet"
"269",5209,"jun-2022",1364.14204559423,"prophet"
"270",5210,"jun-2022",1792.95663733121,"prophet"
"271",5206,"jul-2022",813.042307969858,"prophet"
"272",5207,"jul-2022",1520.33654485022,"prophet"
"273",5208,"jul-2022",2492.90551718981,"prophet"
"274",5209,"jul-2022",1207.59583329218,"prophet"
"275",5210,"jul-2022",1641.48097980278,"prophet"
"276",5206,"aug-2022",796.097013499162,"prophet"
"277",5207,"aug-2022",1574.5360209933,"prophet"
"278",5208,"aug-2022",2502.95615975478,"prophet"
"279",5209,"aug-2022",1215.75904070034,"prophet"
"280",5210,"aug-2022",1639.43295744744,"prophet"
"281",5206,"sep-2022",759.718682300966,"prophet"
"282",5207,"sep-2022",1450.77926910821,"prophet"
"283",5208,"sep-2022",2443.11201071523,"prophet"
"284",5209,"sep-2022",1192.59207031192,"prophet"
"285",5210,"sep-2022",1605.36307636749,"prophet"
"286",5206,"oct-2022",755.784600268668,"prophet"
"287",5207,"oct-2022",1509.18442501695,"prophet"
"288",5208,"oct-2022",2528.63426301963,"prophet"
"289",5209,"oct-2022",1233.15960463457,"prophet"
"290",5210,"oct-2022",1647.27095073683,"prophet"
"291",5206,"nov-2022",786.57947115435,"prophet"
"292",5207,"nov-2022",1561.33504143852,"prophet"
"293",5208,"nov-2022",2473.0831811795,"prophet"
"294",5209,"nov-2022",1261.93252193358,"prophet"
"295",5210,"nov-2022",1617.74016375722,"prophet"
"296",5206,"dec-2022",751.504761255866,"prophet"
"297",5207,"dec-2022",1384.78553563083,"prophet"
"298",5208,"dec-2022",2273.97466389166,"prophet"
"299",5209,"dec-2022",1148.50984226093,"prophet"
"300",5210,"dec-2022",1544.47351259222,"prophet"
"301",5206,"jan-2023",715.597338285531,"prophet"
"302",5207,"jan-2023",1433.62483272145,"prophet"
"303",5208,"jan-2023",2432.94392549487,"prophet"
"304",5209,"jan-2023",1175.13002154748,"prophet"
"305",5210,"jan-2023",1574.79444627168,"prophet"
"306",5206,"feb-2023",806.209623802989,"prophet"
"307",5207,"feb-2023",1508.23266962771,"prophet"
"308",5208,"feb-2023",2511.05890667234,"prophet"
"309",5209,"feb-2023",1166.71601034007,"prophet"
"310",5210,"feb-2023",1679.45567918539,"prophet"
"311",5206,"mar-2023",784.806167243759,"prophet"
"312",5207,"mar-2023",1510.96383091419,"prophet"
"313",5208,"mar-2023",2424.21849080627,"prophet"
"314",5209,"mar-2023",1172.17799016749,"prophet"
"315",5210,"mar-2023",1619.70207569943,"prophet"
"316",5206,"apr-2023",880.871848166589,"prophet"
"317",5207,"apr-2023",1622.54836140439,"prophet"
"318",5208,"apr-2023",2775.90516388081,"prophet"
"319",5209,"apr-2023",1324.67961497487,"prophet"
"320",5210,"apr-2023",1794.34747919499,"prophet"
"321",5206,"may-2023",817.801344127129,"prophet"
"322",5207,"may-2023",1568.96986908172,"prophet"
"323",5208,"may-2023",2655.79574138999,"prophet"
"324",5209,"may-2023",1312.65908967942,"prophet"
"325",5210,"may-2023",1757.60837856547,"prophet"
"326",5206,"jun-2023",859.818545998463,"prophet"
"327",5207,"jun-2023",1620.59052803902,"prophet"
"328",5208,"jun-2023",2660.97123017325,"prophet"
"329",5209,"jun-2023",1341.81836979971,"prophet"
"330",5210,"jun-2023",1772.71944466063,"prophet"
"331",5206,"jul-2023",802.249374201346,"prophet"
"332",5207,"jul-2023",1510.97638757111,"prophet"
"333",5208,"jul-2023",2451.27241117172,"prophet"
"334",5209,"jul-2023",1199.47234973824,"prophet"
"335",5210,"jul-2023",1630.05534054652,"prophet"
"336",5206,"aug-2023",793.062022040185,"prophet"
"337",5207,"aug-2023",1557.04039379851,"prophet"
"338",5208,"aug-2023",2468.32149249342,"prophet"
"339",5209,"aug-2023",1209.18976095132,"prophet"
"340",5210,"aug-2023",1631.81585041511,"prophet"
"341",5206,"sep-2023",758.533522274354,"prophet"
"342",5207,"sep-2023",1454.42435239976,"prophet"
"343",5208,"sep-2023",2407.92147314793,"prophet"
"344",5209,"sep-2023",1190.42109392605,"prophet"
"345",5210,"sep-2023",1595.17844761941,"prophet"
"346",5206,"oct-2023",758.361275536146,"prophet"
"347",5207,"oct-2023",1499.97338685086,"prophet"
"348",5208,"oct-2023",2486.44598352754,"prophet"
"349",5209,"oct-2023",1221.33028119793,"prophet"
"350",5210,"oct-2023",1636.87409200338,"prophet"
"351",5206,"nov-2023",779.448026658391,"prophet"
"352",5207,"nov-2023",1534.7734424956,"prophet"
"353",5208,"nov-2023",2432.67667377834,"prophet"
"354",5209,"nov-2023",1233.64361723802,"prophet"
"355",5210,"nov-2023",1604.21877402134,"prophet"
"356",5206,"dec-2023",742.306652737882,"prophet"
"357",5207,"dec-2023",1387.23707103857,"prophet"
"358",5208,"dec-2023",2251.1832375756,"prophet"
"359",5209,"dec-2023",1134.23079748863,"prophet"
"360",5210,"dec-2023",1534.33307597119,"prophet"
